tanggal,wilayah,waktu,cuaca,kelembaban_persen,suhu_derajat_celcius
2017-06-01,Jakarta Timur,Pagi,Hujan Petir,60 - 95,24 - 34
2017-06-01,Jakarta Barat,Pagi,Hujan Ringan,60 - 95,24 - 34
2017-06-01,Jakarta Selatan,Pagi,Hujan Petir,60 - 95,24 - 34
2017-06-01,Kepulauan Seribu,Pagi,Hujan Lokal,60 - 95,24 - 34
2017-06-01,Jakarta Pusat,Pagi,Hujan Lokal,60 - 95,24 - 34
2017-06-01,Jakarta Utara,Pagi,Hujan Lokal,60 - 95,24 - 34
2017-06-01,Jakarta Timur,Siang,Hujan Lokal,60 - 95,24 - 34
2017-06-01,Jakarta Barat,Siang,Berawan,60 - 95,24 - 34
2017-06-01,Jakarta Selatan,Siang,Hujan Lokal,60 - 95,24 - 34
2017-06-01,Kepulauan Seribu,Siang,Hujan Lokal,60 - 95,24 - 34
2017-06-01,Jakarta Pusat,Siang,Berawan Tebal,60 - 95,24 - 34
2017-06-01,Jakarta Utara,Siang,Berawan Tebal,60 - 95,24 - 34
2017-06-01,Jakarta Timur,Malam,Berawan,60 - 95,24 - 34
2017-06-01,Jakarta Barat,Malam,Berawan,60 - 95,24 - 34
2017-06-01,Jakarta Selatan,Malam,Berawan,60 - 95,24 - 34
2017-06-01,Kepulauan Seribu,Malam,Hujan Lokal,60 - 95,24 - 34
2017-06-01,Jakarta Pusat,Malam,Berawan,60 - 95,24 - 34
2017-06-01,Jakarta Utara,Malam,Berawan,60 - 95,24 - 34
2017-06-01,Jakarta Timur,Dini Hari,Cerah Berawan,60 - 95,24 - 34
2017-06-01,Jakarta Barat,Dini Hari,Berawan Tebal,60 - 95,24 - 34
2017-06-01,Jakarta Selatan,Dini Hari,Cerah Berawan,60 - 95,24 - 34
2017-06-01,Kepulauan Seribu,Dini Hari,Berawan Tebal,60 - 95,24 - 34
2017-06-01,Jakarta Pusat,Dini Hari,Berawan,60 - 95,24 - 34
2017-06-01,Jakarta Utara,Dini Hari,Berawan,60 - 95,24 - 34
2017-06-02,Jakarta Timur,Pagi,Cerah Berawan,55 - 90,26 - 32
2017-06-02,Jakarta Barat,Pagi,Cerah Berawan,55 - 90,26 - 32
2017-06-02,Jakarta Selatan,Pagi,Cerah Berawan,55 - 90,26 - 32
2017-06-02,Kepulauan Seribu,Pagi,Berawan,55 - 90,26 - 32
2017-06-02,Jakarta Pusat,Pagi,Cerah Berawan,55 - 90,26 - 32
2017-06-02,Jakarta Utara,Pagi,Cerah Berawan,55 - 90,26 - 32
2017-06-02,Jakarta Timur,Siang,Berawan,55 - 90,26 - 32
2017-06-02,Jakarta Barat,Siang,Berawan Tebal,55 - 90,26 - 32
2017-06-02,Jakarta Selatan,Siang,Berawan,55 - 90,26 - 32
2017-06-02,Kepulauan Seribu,Siang,Cerah Berawan,55 - 90,26 - 32
2017-06-02,Jakarta Pusat,Siang,Berawan,55 - 90,26 - 32
2017-06-02,Jakarta Utara,Siang,Berawan,55 - 90,26 - 32
2017-06-02,Jakarta Timur,Malam,Cerah Berawan,55 - 90,26 - 32
2017-06-02,Jakarta Barat,Malam,Cerah Berawan,55 - 90,26 - 32
2017-06-02,Jakarta Selatan,Malam,Cerah Berawan,55 - 90,26 - 32
2017-06-02,Kepulauan Seribu,Malam,Hujan Lokal,55 - 90,26 - 32
2017-06-02,Jakarta Pusat,Malam,Cerah Berawan,55 - 90,26 - 32
2017-06-02,Jakarta Utara,Malam,Hujan Lokal,55 - 90,26 - 32
2017-06-02,Jakarta Timur,Dini Hari,Berawan Tebal,55 - 90,26 - 32
2017-06-02,Jakarta Barat,Dini Hari,Berawan Tebal,55 - 90,26 - 32
2017-06-02,Jakarta Selatan,Dini Hari,Berawan Tebal,55 - 90,26 - 32
2017-06-02,Kepulauan Seribu,Dini Hari,Hujan Lokal,55 - 90,26 - 32
2017-06-02,Jakarta Pusat,Dini Hari,Berawan Tebal,55 - 90,26 - 32
2017-06-02,Jakarta Utara,Dini Hari,Berawan Tebal,55 - 90,26 - 32
2017-06-03,Jakarta Timur,Pagi,Cerah Berawan,60 - 90,25 - 32
2017-06-03,Jakarta Barat,Pagi,Cerah Berawan,60 - 90,25 - 32
2017-06-03,Jakarta Selatan,Pagi,Cerah Berawan,60 - 90,25 - 32
2017-06-03,Kepulauan Seribu,Pagi,Berawan,60 - 90,25 - 32
2017-06-03,Jakarta Pusat,Pagi,Cerah Berawan,60 - 90,25 - 32
2017-06-03,Jakarta Utara,Pagi,Cerah Berawan,60 - 90,25 - 32
2017-06-03,Jakarta Timur,Siang,Berawan,60 - 90,25 - 32
2017-06-03,Jakarta Barat,Siang,Berawan Tebal,60 - 90,25 - 32
2017-06-03,Jakarta Selatan,Siang,Berawan,60 - 90,25 - 32
2017-06-03,Kepulauan Seribu,Siang,Hujan Ringan,60 - 90,25 - 32
2017-06-03,Jakarta Pusat,Siang,Berawan,60 - 90,25 - 32
2017-06-03,Jakarta Utara,Siang,Hujan Ringan,60 - 90,25 - 32
2017-06-03,Jakarta Timur,Malam,Cerah Berawan,60 - 90,25 - 32
2017-06-03,Jakarta Barat,Malam,Cerah Berawan,60 - 90,25 - 32
2017-06-03,Jakarta Selatan,Malam,Cerah Berawan,60 - 90,25 - 32
2017-06-03,Kepulauan Seribu,Malam,Hujan Ringan,60 - 90,25 - 32
2017-06-03,Jakarta Pusat,Malam,Cerah Berawan,60 - 90,25 - 32
2017-06-03,Jakarta Utara,Malam,Cerah Berawan,60 - 90,25 - 32
2017-06-03,Jakarta Timur,Dini Hari,Berawan Tebal,60 - 90,25 - 32
2017-06-03,Jakarta Barat,Dini Hari,Berawan Tebal,60 - 90,25 - 32
2017-06-03,Jakarta Selatan,Dini Hari,Berawan Tebal,60 - 90,25 - 32
2017-06-03,Kepulauan Seribu,Dini Hari,Hujan Lokal,60 - 90,25 - 32
2017-06-03,Jakarta Pusat,Dini Hari,Berawan Tebal,60 - 90,25 - 32
2017-06-03,Jakarta Utara,Dini Hari,Berawan Tebal,60 - 90,25 - 32
2017-06-04,Jakarta Timur,Pagi,Berawan,60 - 95,24 - 31
2017-06-04,Jakarta Barat,Pagi,Berawan,60 - 95,24 - 31
2017-06-04,Jakarta Selatan,Pagi,Berawan,60 - 95,24 - 31
2017-06-04,Kepulauan Seribu,Pagi,Cerah Berawan,60 - 95,24 - 31
2017-06-04,Jakarta Pusat,Pagi,Cerah Berawan,60 - 95,24 - 31
2017-06-04,Jakarta Utara,Pagi,Cerah Berawan,60 - 95,24 - 31
2017-06-04,Jakarta Timur,Siang,Cerah Berawan,60 - 95,24 - 31
2017-06-04,Jakarta Barat,Siang,Berawan,60 - 95,24 - 31
2017-06-04,Jakarta Selatan,Siang,Cerah Berawan,60 - 95,24 - 31
2017-06-04,Kepulauan Seribu,Siang,Berawan,60 - 95,24 - 31
2017-06-04,Jakarta Pusat,Siang,Berawan Tebal,60 - 95,24 - 31
2017-06-04,Jakarta Utara,Siang,Berawan Tebal,60 - 95,24 - 31
2017-06-04,Jakarta Timur,Malam,Berawan,60 - 95,24 - 31
2017-06-04,Jakarta Barat,Malam,Berawan Tebal,60 - 95,24 - 31
2017-06-04,Jakarta Selatan,Malam,Berawan,60 - 95,24 - 31
2017-06-04,Kepulauan Seribu,Malam,Hujan Ringan,60 - 95,24 - 31
2017-06-04,Jakarta Pusat,Malam,Berawan,60 - 95,24 - 31
2017-06-04,Jakarta Utara,Malam,Berawan Tebal,60 - 95,24 - 31
2017-06-04,Jakarta Timur,Dini Hari,Berawan,60 - 95,24 - 31
2017-06-04,Jakarta Barat,Dini Hari,Cerah Berawan,60 - 95,24 - 31
2017-06-04,Jakarta Selatan,Dini Hari,Cerah Berawan,60 - 95,24 - 31
2017-06-04,Kepulauan Seribu,Dini Hari,Berawan,60 - 95,24 - 31
2017-06-04,Jakarta Pusat,Dini Hari,Cerah Berawan,60 - 95,24 - 31
2017-06-04,Jakarta Utara,Dini Hari,Berawan,60 - 95,24 - 31
2017-06-05,Jakarta Timur,Pagi,Hujan Petir,65 - 90,25 - 33
2017-06-05,Jakarta Barat,Pagi,Hujan Lokal,65 - 90,25 - 33
2017-06-05,Jakarta Selatan,Pagi,Hujan Petir,65 - 90,25 - 33
2017-06-05,Kepulauan Seribu,Pagi,Cerah Berawan,65 - 90,25 - 33
2017-06-05,Jakarta Pusat,Pagi,Hujan Lokal,65 - 90,25 - 33
2017-06-05,Jakarta Utara,Pagi,Hujan Lokal,65 - 90,25 - 33
